Messages,Free entropy density,density,entropy density,stability,physical
"[[2.1066833409311743e-21, 0.0001661534997224215], [0.9678392380788161, 0.031994608421461374]]",-4.420553704036083,1.0,-4.420553704036083,False,True
"[[2.6333541761639676e-21, 0.00020769187465302687], [0.9640868291433503, 0.035705478981996594]]",-4.3070443084774634,1.0,-4.3070443084774634,False,True
"[[4.600280424862152e-21, 0.0002596148430694533], [0.9599023886375896, 0.0398379965193409]]",-4.193302930763659,1.0,-4.193302930763659,False,True
"[[4.114615900256199e-21, 0.0003245185541453545], [0.9552376282443303, 0.044437853201524234]]",-4.079301356372179,1.0,-4.079301356372179,False,True
"[[5.750350532644829e-21, 0.000405648192508555], [0.9500392308520218, 0.049555120955469795]]",-3.965007831030242,1.0,-3.965007831030242,False,True
"[[5.7503505357056376e-21, 0.000507060241154576], [0.9442484219799125, 0.055244517778932994]]",-3.8503865809934403,1.0,-3.8503865809934403,False,True
"[[1.0045448971408848e-20, 0.000633825300601043], [0.9378005315144, 0.06156564318499904]]",-3.7353972755101985,1.0,-3.7353972755101985,False,True
"[[1.1231153384071932e-20, 0.0007922816259932713], [0.9306245529563448, 0.06858316541766196]]",-3.619994392362166,1.0,-3.619994392362166,False,True
"[[1.2556811219043574e-20, 0.0009903520329142895], [0.9226427132995554, 0.0763669346675304]]",-3.5041264996346495,1.0,-3.5041264996346495,False,True
"[[1.9620017522282904e-20, 0.0012379400402364122], [0.9137700680710756, 0.08499199188868797]]",-3.3877354113324856,1.0,-3.3877354113324856,False,True
"[[1.9620017529755582e-20, 0.0015474250514285772], [0.9039141429649651, 0.09453843198360647]]",-3.270755205051117,1.0,-3.270755205051117,False,True
"[[2.4525021912194476e-20, 0.0019342813142857213], [0.8929746500414149, 0.10509106864429969]]",-3.1531110792157637,1.0,-3.1531110792157637,False,True
"[[3.065627739024309e-20, 0.0024178516428571516], [0.8808433127132325, 0.11673883564391055]]",-3.0347179998894553,1.0,-3.0347179998894553,False,True
"[[3.8320346737803866e-20, 0.0030223145535714395], [0.8674038459621469, 0.12957383948428183]]",-2.915479107778867,1.0,-2.915479107778867,False,True
"[[4.790043342225483e-20, 0.003777893191964299], [0.8525321484559255, 0.14368995835211038]]",-2.795283821369141,1.0,-2.795283821369141,False,True
"[[5.987554177781853e-20, 0.0047223664899553736], [0.8360967786717846, 0.15918085483826022]]",-2.674005567307023,1.0,-2.674005567307023,False,True
"[[7.484442722227317e-20, 0.005902958112444217], [0.8179598043103807, 0.1761372375771752]]",-2.5514990449388355,1.0,-2.5514990449388355,False,True
"[[9.355553402784145e-20, 0.007378697640555271], [0.7979781349056029, 0.19464316745384191]]",-2.4275969035475278,1.0,-2.4275969035475278,False,True
"[[1.169444175348018e-19, 0.009223372050694088], [0.7760054714991537, 0.21477115645015224]]",-2.3021056712456804,1.0,-2.3021056712456804,False,True
"[[1.4618052191850225e-19, 0.01152921506336761], [0.7518950346117371, 0.2365757503248952]]",-2.174800719174657,1.0,-2.174800719174657,False,True
"[[1.827256523981278e-19, 0.014411518829209512], [0.7255032622219035, 0.26008521894888686]]",-2.0454199661771364,1.0,-2.0454199661771364,False,True
"[[2.2840706549765973e-19, 0.018014398536511888], [0.6966947022905777, 0.2852908991729103]]",-1.9136559158276878,1.0,-1.9136559158276878,False,True
"[[2.8550883187207465e-19, 0.02251799817063986], [0.6653483580488644, 0.31213364378049574]]",-1.779145451120474,1.0,-1.779145451120474,False,True
"[[3.568860398400933e-19, 0.028147497713299826], [0.6313657762680026, 0.3404867260186975]]",-1.6414565620844952,1.0,-1.6414565620844952,False,True
"[[4.461075498001166e-19, 0.03518437214162478], [0.5946811951161914, 0.37013443274218366]]",-1.50007079777449,1.0,-1.50007079777449,False,True
"[[5.576344372501457e-19, 0.04398046517703097], [0.5552740832390948, 0.4007454515838741]]",-1.354359629970368,1.0,-1.354359629970368,False,True
"[[6.97043046562682e-19, 0.054975581471288705], [0.5131843975132812, 0.43184002101542995]]",-1.2035519382007158,1.0,-1.2035519382007158,False,True
"[[8.713038082033525e-19, 0.06871947683911088], [0.4685308534532908, 0.4627496697075981]]",-1.0466881929473177,1.0,-1.0466881929473177,False,True
"[[1.2176840898528697e-18, 0.08589934601222515], [0.42153242787204137, 0.49256822611573337]]",-0.8825540886851884,1.0,-0.8825540886851884,False,True
"[[1.361412200317738e-18, 0.10737418256111074], [0.37253318549868075, 0.5200926319402084]]",-0.7095812818061829,1.0,-0.7095812818061829,False,True
"[[1.7017652503971723e-18, 0.13421772820138841], [0.3220303359759615, 0.54375193582265]]",-0.525693264341796,1.0,-0.525693264341796,False,True
"[[2.127206562996465e-18, 0.1677721602517355], [0.27070517639025404, 0.5615226633580104]]",-0.32805510822631145,1.0,-0.32805510822631145,False,True
"[[2.972861547492357e-18, 0.20971520022515905], [0.2194562996992787, 0.5708285000755622]]",-0.11264452393537816,1.0,-0.11264452393537816,False,True
"[[2.6590082057235848e-18, 0.26214400076823574], [0.16943418504629837, 0.5684218141854658]]",0.12653470987942517,1.0,0.12653470987942517,False,True
"[[4.15470031835247e-18, 0.32768000049167084], [0.12207616710780009, 0.550243832400529]]",0.39902625293715355,1.0,0.39902625293715355,False,True
"[[5.193375397940588e-18, 0.4096000006145885], [0.079140940839469, 0.5112590585459423]]",0.7214619025595577,1.0,0.7214619025595577,False,False
"[[5.1933754018038765e-18, 0.5120000015004603], [0.042742474549443014, 0.4452575239500965]]",1.1270050293425822,1.0,1.1270050293425822,False,False
"[[6.491719252254845e-18, 0.6400000018755754], [0.015384615176526383, 0.344615382947898]]",1.6984904753489922,1.0,1.6984904753489922,False,False
"[[6.491719261686708e-18, 0.8000000045790425], [5.880041108712258e-24, 0.19999999542095723]]",2.7725887508587985,1.0,2.7725887508587985,False,False
"[[6.759504563277638e-17, 0.9999999999999998], [7.190772540897527e-34, 2.7691728234169073e-50]]",-38.24310738193955,9.561588175392854e-68,-38.24310738193955,True,False
